,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,minimum.mean.Tb,maximum.mean.Tb
Stenodactylus_petrii,Oviparous,Stenodactylus_petrii,Stenodactylus,Gekkonidae,58.1,28,-4.242,2.761,156.172,73.066,2,2,2,2,13.12,22.86,Nocturnal,20.6,20.6
Stenodactylus_sthenodactylus,Oviparous,Stenodactylus_sthenodactylus,Stenodactylus,Gekkonidae,49.1,21.5,-4.242,2.761,131.323,55.120,2,1,2,2,15.08,21.65,Nocturnal,21.4,21.4
Strophurus_ciliaris,Oviparous,Strophurus_ciliaris,Strophurus,Diplodactylidae,75.6,30.1,-4.804,3.057,226.305,87.212,2,2,2,2,131.68,-22.32,Nocturnal,25.4,27
Strophurus_elderi,Oviparous,Strophurus_elderi,Strophurus,Diplodactylidae,45,19.1,-4.804,3.057,132.761,53.585,2,1,2,1.8,129.36,-25.91,Nocturnal,26.2,28.2
Strophurus_michaelseni,Oviparous,Strophurus_michaelseni,Strophurus,Diplodactylidae,56,29.3,-4.804,3.057,166.388,84.766,2,2,2,2,115.24,-28.73,Nocturnal,42.6,42.6
Strophurus_spinigerus,Oviparous,Strophurus_spinigerus,Strophurus,Diplodactylidae,60.9,22.5,-4.804,3.057,181.367,63.979,2,1,2,2,117.68,-31.72,Nocturnal,16,23.1
Strophurus_strophurus,Oviparous,Strophurus_strophurus,Strophurus,Diplodactylidae,69.1,27.5,-4.804,3.057,206.435,79.264,2,1,2,2,120.37,-25.69,Nocturnal,25.3,25.3
Takydromus_septentrionalis,Oviparous,Takydromus_septentrionalis,Takydromus,Lacertidae,60.7,24.6,-4.543,2.951,174.583,68.052,6,1,3.5,3.1,113.52,31.26,Diurnal,28.3,32.4
Takydromus_sexlineatus,Oviparous,Takydromus_sexlineatus,Takydromus,Lacertidae,55.8,19,-4.543,2.951,160.123,51.526,5,1,2.2,2.2,104.95,13.91,Diurnal,31.6,31.6
Tarentola_mauritanica,Oviparous,Tarentola_mauritanica,Tarentola,Phyllodactylidae,52.8,20,-4.482,2.945,151.014,54.418,3,1,2,2,4.64,36.68,Cathemeral,15,30.2
Teira_dugesii,Oviparous,Teira_dugesii,Teira,Lacertidae,60.9,30.8,-4.543,2.951,175.173,86.348,5,1,2.6,2.4,-16.95,32.76,Diurnal,33.8,33.8
